Test Case ID,Module,Type,Priority,Preconditions,Test Data,Test Steps,Expected Result,Actual Result,Status,Automation Mapping
TC_REG_001,Registration,Positive,High,App URL available; user is Guest on Landing/Register page,First: Poonam; Last: Rana; Email: unique@example.com; Password: Test@1234; Confirm: Test@1234,"1. Open Registration form
2. Enter First Name, Last Name, Email, Password, Confirm Password
3. Click Register/Submit
4. Observe redirect",Account is created; user is redirected to Login page; success message shown (if designed),,Not Executed,Manual-only (not in mock)
TC_REG_002,Registration,Negative,High,User already registered with email existing@example.com,Email: existing@example.com; valid password meeting policy,"1. Open Registration
2. Enter details with existing email
3. Submit",Error shown that email already exists; user stays on Registration; no duplicate account,,Not Executed,Manual-only
TC_REG_003,Registration,Negative,High,On Registration page,All fields blank,"1. Open Registration
2. Leave all fields empty
3. Click Register","Inline/field validation errors for mandatory fields: First Name, Last Name, Email, Password, Confirm Password; form not submitted",,Not Executed,Manual-only
TC_REG_004,Registration,Negative,High,On Registration page,Password: Test@1234; Confirm: Test@9999,"1. Fill valid First/Last/Email
2. Enter mismatching Password and Confirm Password
3. Submit",Error: passwords do not match; account not created,,Not Executed,Manual-only
TC_REG_005,Registration,Boundary,High,On Registration page,Password: Ab1@xxx (7 chars) vs Test@123 (8 chars meeting rules),"1. Attempt register with 7-char password
2. Retry with 8-char valid password (1 upper, 1 number, 1 special)",7-char rejected per policy; 8-char accepted if other fields valid,,Not Executed,Manual-only
TC_REG_006,Registration,Boundary,Medium,On Registration page,Password without uppercase: test@1234,"1. Enter password missing uppercase
2. Submit",Validation error for password policy; registration blocked,,Not Executed,Manual-only
TC_REG_007,Registration,Boundary,Medium,On Registration page,Password without number: Test@abcd,"1. Enter password missing number
2. Submit",Validation error; registration blocked,,Not Executed,Manual-only
TC_REG_008,Registration,Boundary,Medium,On Registration page,Password without special char: Test1234,"1. Enter password missing special character
2. Submit",Validation error; registration blocked,,Not Executed,Manual-only
TC_REG_009,Registration,Negative,High,On Registration page,Email: not-an-email,"1. Enter invalid email format
2. Fill other valid fields
3. Submit",Email format validation error; registration blocked,,Not Executed,Manual-only
TC_REG_010,Registration,UI,Medium,On Registration page,N/A,"1. Inspect Registration UI labels and fields
2. Verify First Name, Last Name, Email, Password, Confirm Password visible
3. Check password fields mask characters",All required fields present and labeled; password inputs masked,,Not Executed,Manual-only
